"","name","type","randomForest.importance"
"202","f1_constitutional.nAtomLC.y","integer",28.1651439307226
"203","f1_constitutional.nB.y","integer",15.1043976851008
"204","f1_constitutional.nBase.y","integer",18.700309296493
"205","f1_constitutional.nAtom.y","integer",25.2837995222494
"206","f1_constitutional.nAromBond.y","integer",14.505202969582
"207","f1_constitutional.naAromAtom.y","integer",14.2208199053032
"208","f1_constitutional.ALogP.y","numeric",18.1932744396099
"209","f1_constitutional.ALogp2.y","numeric",26.0641250442293
"210","f1_constitutional.AMR.y","numeric",31.8018798231137
"211","f1_constitutional.nAcid.y","integer",7.81357400284195
"212","f1_topological.nSmallRings.y","integer",14.7670344598638
"213","f1_topological.nAromRings.y","integer",11.648581056372
"214","f1_topological.nRingBlocks.y","integer",19.8086832417452
"215","f1_topological.nAromBlocks.y","integer",13.1747454049494
"216","f1_topological.nRings3.y","integer",5.95135701879606
"217","f1_topological.nRings4.y","integer",8.04063321623654
"218","f1_topological.nRings5.y","integer",11.8206407397592
"219","f1_topological.nRings6.y","integer",13.3335469438416
"220","f1_topological.nRings7.y","integer",15.035368882922
"221","f1_topological.tpsaEfficien.y.y","numeric",16.5194273955246
"222","f1_topological.Zagreb.y","integer",17.9597461665198
"223","f1_topological.WPATH.y","numeric",22.1142210398282
"224","f1_topological.WPOL.y","integer",24.3381796519465
"225","f1_topological.WTPT.1.y","numeric",25.529020485064
"226","f1_topological.WTPT.2.y","numeric",15.9960191662321
"227","f1_topological.WTPT.3.y","numeric",14.5487065010085
"228","f1_topological.WTPT.4.y","numeric",16.8276776615812
"229","f1_topological.WTPT.5.y","numeric",32.7090865287455
"230","f1_topological.VAdjMat.y","numeric",19.9710460590193
"231","f1_topological.VABC.y","numeric",18.9026377667574
"232","f1_topological.TopoPSA.y","numeric",18.9473767793283
"233","f1_topological.topoShape.y","numeric",14.2488262362528
"234","f1_topological.PetitjeanNumber.y","numeric",15.5887082258197
"235","f1_topological.MDEC.11.y","numeric",19.0692179124213
"236","f1_topological.MDEC.12.y","numeric",22.3161916563555
"237","f1_topological.MDEC.13.y","numeric",28.3627147337863
"238","f1_topological.MDEC.14.y","numeric",17.8396694922514
"239","f1_topological.MDEC.22.y","numeric",15.8623069930029
"240","f1_topological.MDEC.23.y","numeric",27.6513133925483
"241","f1_topological.MDEC.24.y","numeric",18.8363561634916
"242","f1_topological.MDEC.33.y","numeric",28.1367011491616
"243","f1_topological.MDEC.34.y","numeric",23.1169455653607
"244","f1_topological.MDEC.44.y","numeric",11.1790978233409
"245","f1_topological.MDEO.11.y","numeric",15.5841974618972
"246","f1_topological.MDEO.12.y","numeric",17.7049502576323
"247","f1_topological.MDEO.22.y","numeric",23.3853602492413
"248","f1_topological.MDEN.11.y","numeric",8.52815760660844
"249","f1_topological.MDEN.12.y","numeric",16.9281634122535
"250","f1_topological.MDEN.13.y","numeric",18.1807785106406
"251","f1_topological.MDEN.22.y","numeric",15.0247133364537
"252","f1_topological.MDEN.23.y","numeric",28.0953021050824
"253","f1_topological.MDEN.33.y","numeric",12.7473344933421
"254","f1_topological.khs.sssB.y","integer",0
"255","f1_topological.khs.sCH3.y","integer",15.1393570980376
"256","f1_topological.khs.dCH2.y","integer",10.0962818775663
"257","f1_topological.khs.ssCH2.y","integer",22.5608020305888
"258","f1_topological.khs.tCH.y","integer",6.18296670751582
"259","f1_topological.khs.dsCH.y","integer",19.0960587577068
"260","f1_topological.khs.aaCH.y","integer",11.5582562978201
"261","f1_topological.khs.sssCH.y","integer",13.6829341810469
"262","f1_topological.khs.tsC.y","integer",8.41701824835096
"263","f1_topological.khs.dssC.y","integer",14.8092547946477
"264","f1_topological.khs.aasC.y","integer",22.4511231025926
"265","f1_topological.khs.aaaC.y","integer",16.5261919712311
"266","f1_topological.khs.ssssC.y","integer",11.3986915239429
"267","f1_topological.khs.sNH3.y","integer",-0.451258289681493
"268","f1_topological.khs.sNH2.y","integer",11.2164382856062
"269","f1_topological.khs.ssNH2.y","integer",-1.54538799807757
"270","f1_topological.khs.dNH.y","integer",0.827827300890939
"271","f1_topological.khs.ssNH.y","integer",16.0397247328835
"272","f1_topological.khs.aaNH.y","integer",15.9804420530775
"273","f1_topological.khs.tN.y","integer",5.03156469422613
"274","f1_topological.khs.dsN.y","integer",19.4191449955954
"275","f1_topological.khs.aaN.y","integer",8.83360240225159
"276","f1_topological.khs.sssN.y","integer",12.5516985512409
"277","f1_topological.khs.ddsN.y","integer",8.09033708396157
"278","f1_topological.khs.aasN.y","integer",8.14210211499068
"279","f1_topological.khs.ssssN.y","integer",9.49461525294509
"280","f1_topological.khs.sOH.y","integer",13.4629992616488
"281","f1_topological.khs.dO.y","integer",10.5925889745666
"282","f1_topological.khs.ssO.y","integer",15.7483721407891
"283","f1_topological.khs.aaO.y","integer",9.97602163270436
"284","f1_topological.khs.sF.y","integer",15.488915547772
"285","f1_topological.khs.dsssP.y","integer",5.06012517878143
"286","f1_topological.khs.sSH.y","integer",-0.58512114419162
"287","f1_topological.khs.dS.y","integer",2.53495982966282
"288","f1_topological.khs.ssS.y","integer",15.06940835204
"289","f1_topological.khs.aaS.y","integer",12.2813309960553
"290","f1_topological.khs.dssS.y","integer",2.45664231104752
"291","f1_topological.khs.ddssS.y","integer",8.87757459910798
"292","f1_topological.khs.sCl.y","integer",15.9013947393681
"293","f1_topological.khs.sBr.y","integer",4.37524946545671
"294","f1_topological.khs.sI.y","integer",-2.66125237910381
"295","f1_topological.Kier1.y","numeric",15.3337831274635
"296","f1_topological.Kier2.y","numeric",21.6848356835581
"297","f1_topological.Kier3.y","numeric",27.5785272356249
"298","f1_topological..ybRatio.y","numeric",32.6212033876675
"299","f1_topological.fragC.y","numeric",26.8441148019571
"300","f1_topological.FMF.y","numeric",25.8813301498523
"301","f1_topological.ECCEN.y","integer",21.810460460001
"302","f1_topological.SP.0.y","numeric",16.4794218975829
"303","f1_topological.SP.1.y","numeric",17.1881273735322
"304","f1_topological.SP.2.y","numeric",21.2278947476556
"305","f1_topological.SP.3.y","numeric",20.6113836056651
"306","f1_topological.SP.4.y","numeric",23.9621261320635
"307","f1_topological.SP.5.y","numeric",21.7225286578089
"308","f1_topological.SP.6.y","numeric",27.4334767113646
"309","f1_topological.SP.7.y","numeric",25.0216835143223
"310","f1_topological.VP.0.y","numeric",23.663264110292
"311","f1_topological.VP.1.y","numeric",19.7487898679176
"312","f1_topological.VP.2.y","numeric",18.5627872334345
"313","f1_topological.VP.3.y","numeric",25.2397890923661
"314","f1_topological.VP.4.y","numeric",25.000386323741
"315","f1_topological.VP.5.y","numeric",24.5601831470381
"316","f1_topological.VP.6.y","numeric",29.7267609933293
"317","f1_topological.VP.7.y","numeric",25.3123171346919
"318","f1_topological.SPC.4.y","numeric",13.2026986934656
"319","f1_topological.SPC.5.y","numeric",19.2565110398725
"320","f1_topological.SPC.6.y","numeric",22.3582085728811
"321","f1_topological.VPC.4.y","numeric",28.2795264680259
"322","f1_topological.VPC.5.y","numeric",26.688135764745
"323","f1_topological.VPC.6.y","numeric",27.0277453999899
"324","f1_topological.SC.3.y","numeric",13.6558081482105
"325","f1_topological.SC.4.y","numeric",19.8985987521183
"326","f1_topological.SC.5.y","numeric",17.738026853761
"327","f1_topological.SC.6.y","numeric",17.6961844838794
"328","f1_topological.VC.3.y","numeric",26.7623556623195
"329","f1_topological.VC.4.y","numeric",17.0106972700302
"330","f1_topological.VC.5.y","numeric",30.5562731435819
"331","f1_topological.VC.6.y","numeric",19.802650344075
"332","f1_topological.SCH.3.y","numeric",6.15993458439717
"333","f1_topological.SCH.4.y","numeric",5.05789144544344
"334","f1_topological.SCH.5.y","numeric",17.971374019877
"335","f1_topological.SCH.6.y","numeric",27.2656749015467
"336","f1_topological.SCH.7.y","numeric",22.676845256435
"337","f1_topological.VCH.3.y","numeric",5.54715162016305
"338","f1_topological.VCH.4.y","numeric",8.10683903278458
"339","f1_topological.VCH.5.y","numeric",18.6712590602502
"340","f1_topological.VCH.6.y","numeric",26.4540734668682
"341","f1_topological.VCH.7.y","numeric",31.6094528284406
"342","f1_topological.C1SP1.y","integer",9.50475181315345
"343","f1_topological.C2SP1.y","integer",6.10216834915243
"344","f1_topological.C1SP2.y","integer",9.549044287131
"345","f1_topological.C2SP2.y","integer",15.3057199657938
"346","f1_topological.C3SP2.y","integer",12.4917227917771
"347","f1_topological.C1SP3.y","integer",23.5566513748411
"348","f1_topological.C2SP3.y","integer",20.2021475375786
"349","f1_topological.C3SP3.y","integer",16.4423969895999
"350","f1_topological.C4SP3.y","integer",11.9474024988743
"351","f1_topological.ATSp1.y","numeric",21.4620821166253
"352","f1_topological.ATSp2.y","numeric",23.3521379998728
"353","f1_topological.ATSp3.y","numeric",25.5916529158999
"354","f1_topological.ATSp4.y","numeric",21.1161392564584
"355","f1_topological.ATSp5.y","numeric",25.755865009771
"356","f1_topological.ATSm1.y","numeric",20.8011409427757
"357","f1_topological.ATSm2.y","numeric",16.1156418792259
"358","f1_topological.ATSm3.y","numeric",14.3823371276698
"359","f1_topological.ATSm4.y","numeric",20.4641978438354
"360","f1_topological.ATSm5.y","numeric",18.5319360791314
"361","f1_topological.ATSc1.y","numeric",15.7039581843771
"362","f1_topological.ATSc2.y","numeric",26.250263131367
"363","f1_topological.ATSc3.y","numeric",33.1300671230398
"364","f1_topological.ATSc4.y","numeric",42.4498108767043
"365","f1_topological.ATSc5.y","numeric",45.3585335025961
"366","f1_electronic.tpsaEfficien.y.y","numeric",16.9361234331069
"367","f1_electronic.TopoPSA.y","numeric",18.7167966364853
"368","f1_electronic.nHBDon.y","integer",11.5583104757067
"369","f1_electronic.nHBAcc.y","integer",12.2734463273064
"370","f1_electronic.bpol.y","numeric",26.4912249130598
"371","f1_electronic.apol.y","numeric",21.1632776112077
"372","f1_geometrical.topoShape.y","numeric",16.1401935359883
"373","f1_.ybridBCUTw.1l.y","numeric",11.6369452531344
"374","f1_.ybridBCUTw.1h.y","numeric",16.8773241491684
"375","f1_.ybridBCUTc.1l.y","numeric",29.0169106001522
"376","f1_.ybridBCUTc.1h.y","numeric",17.3624108792854
"377","f1_.ybridBCUTp.1l.y","numeric",16.8872156201432
"378","f1_.ybridBCUTp.1h.y","numeric",28.4479940714799
