,name,hype,randomForest.importance
113,topological.Kier3.x,numeric,19.9049948692
325,topological.SC.4.y,numeric,19.8985987521
62,topological.MDEO.12.x,numeric,19.8913277232
214,topological.nRingBlocks.y,integer,19.8086832417
331,topological.VC.6.y,numeric,19.8026503441
311,topological.VP.1.y,numeric,19.7487898679
122,topological.SP.4.x,numeric,19.6549975562
127,topological.VP.1.x,numeric,19.6284865886
274,topological.khs.dsN.y,integer,19.4191449956
24,constitutional.ALogP.x,numeric,19.4001283467
155,topological.VCH.5.x,numeric,19.3731097613
117,topological.ECCEN.x,integer,19.276796271
319,topological.SPC.5.y,numeric,19.2565110399
75,topological.khs.dsCH.x,integer,19.1519302704
259,topological.khs.dsCH.y,integer,19.0960587577
235,topological.MDEC.11.y,numeric,19.0692179124
232,topological.TopoPSA.y,numeric,18.9473767793
161,topological.C2SP2.x,integer,18.9227654645
231,topological.VABC.y,numeric,18.9026377668
30,topological.nRingBlocks.x,integer,18.8536351549
241,topological.MDEC.24.y,numeric,18.8363561635
46,topological.VAdjMat.x,numeric,18.7679651011
367,electronic.TopoPSA.y,numeric,18.7167966365
204,constitutional.nBase.y,integer,18.7003092965
339,topological.VCH.5.y,numeric,18.6712590603
189,hybridBCUTw.1l.x,numeric,18.6167733623
107,topological.khs.ddssS.x,integer,18.5747162227
312,topological.VP.2.y,numeric,18.5627872334
360,topological.ATSm5.y,numeric,18.5319360791
108,topological.khs.sCl.x,integer,18.4950071809
183,electronic.TopoPSA.x,numeric,18.4616437169
48,topological.TopoPSA.x,numeric,18.4494504073
27,constitutional.nAcid.x,integer,18.404664616
142,topological.SC.5.x,numeric,18.2882644959
15,constitutional.MLogP.x,numeric,18.1980709424
208,constitutional.ALogP.y,numeric,18.1932744396
250,topological.MDEN.13.y,numeric,18.1807785106
47,topological.VABC.x,numeric,18.1628531823
12,constitutional.MW.x,numeric,18.0361152259
54,topological.MDEC.14.x,numeric,18.0191136151
334,topological.SCH.5.y,numeric,17.9713740199
222,topological.Zagreb.y,integer,17.9597461665
238,topological.MDEC.14.y,numeric,17.8396694923
145,topological.VC.4.x,numeric,17.7871443074
73,topological.khs.ssCH2.x,integer,17.7500139567
326,topological.SC.5.y,numeric,17.7380268538
246,topological.MDEO.12.y,numeric,17.7049502576
327,topological.SC.6.y,numeric,17.6961844839
55,topological.MDEC.22.x,numeric,17.5900526239
42,topological.WTPT.2.x,numeric,17.5103153608
112,topological.Kier2.x,numeric,17.3719860607
376,hybridBCUTc.1h.y,numeric,17.3624108793
150,topological.SCH.5.x,numeric,17.3184920193
40,topological.WPOL.x,integer,17.1917371812
303,topological.SP.1.y,numeric,17.1881273735
329,topological.VC.4.y,numeric,17.01069727
37,topological.tpsaEfficien.x.x,numeric,16.983926304
174,topological.ATSm3.x,numeric,16.9796971036
366,electronic.tpsaEfficien.y.y,numeric,16.9361234331
249,topological.MDEN.12.y,numeric,16.9281634123
377,hybridBCUTp.1l.y,numeric,16.8872156201
374,hybridBCUTw.1h.y,numeric,16.8773241492
228,topological.WTPT.4.y,numeric,16.8276776616
100,topological.khs.sF.x,integer,16.8224284285
192,hybridBCUTc.1h.x,numeric,16.7906938386
173,topological.ATSm2.x,numeric,16.6072549572
182,electronic.tpsaEfficien.x.x,numeric,16.5799913818
265,topological.khs.aaaC.y,integer,16.5261919712
221,topological.tpsaEfficien.y.y,numeric,16.5194273955
302,topological.SP.0.y,numeric,16.4794218976
349,topological.C3SP3.y,integer,16.4423969896
76,topological.khs.aaCH.x,integer,16.2784944619
61,topological.MDEO.11.x,numeric,16.1410592516
372,geometrical.topoShape.y,numeric,16.140193536
357,topological.ATSm2.y,numeric,16.1156418792
79,topological.khs.dssC.x,integer,16.1026554631
271,topological.khs.ssNH.y,integer,16.0397247329
226,topological.WTPT.2.y,numeric,15.9960191662
272,topological.khs.aaNH.y,integer,15.9804420531
292,topological.khs.sCl.y,integer,15.9013947394
23,constitutional.naAromAtom.x,integer,15.8877279349
136,topological.SPC.6.x,numeric,15.8774543236
239,topological.MDEC.22.y,numeric,15.862306993
282,topological.khs.ssO.y,integer,15.7483721408
361,topological.ATSc1.y,numeric,15.7039581844
65,topological.MDEN.12.x,numeric,15.629311195
31,topological.nAromBlocks.x,integer,15.6233054796
234,topological.PetitjeanNumber.y,numeric,15.5887082258
245,topological.MDEO.11.y,numeric,15.5841974619
284,topological.khs.sF.y,integer,15.4889155478
44,topological.WTPT.4.x,numeric,15.4109025563
81,topological.khs.aaaC.x,integer,15.3991553457
137,topological.VPC.4.x,numeric,15.3562378979
295,topological.Kier1.y,numeric,15.3337831275
345,topological.C2SP2.y,integer,15.3057199658
36,topological.nRings7.x,integer,15.2998826693
67,topological.MDEN.22.x,numeric,15.163806961
255,topological.khs.sCH3.y,integer,15.139357098
176,topological.ATSm5.x,numeric,15.1365756848
199,constitutional.MLogP.y,numeric,15.1353250246
203,constitutional.nB.y,integer,15.1043976851
288,topological.khs.ssS.y,integer,15.069408352
220,topological.nRings7.y,integer,15.0353688829
251,topological.MDEN.22.y,numeric,15.0247133365
88,topological.khs.aaNH.x,integer,14.9887707364
105,topological.khs.aaS.x,integer,14.9319598967
196,constitutional.MW.y,numeric,14.9179592763
14,constitutional.nRotB.x,integer,14.8368343907
263,topological.khs.dssC.y,integer,14.8092547946
212,topological.nSmallRings.y,integer,14.7670344599
227,topological.WTPT.3.y,numeric,14.548706501
77,topological.khs.sssCH.x,integer,14.5114223905
206,constitutional.nAromBond.y,integer,14.5052029696
135,topological.SPC.5.x,numeric,14.4914664118
177,topological.ATSc1.x,numeric,14.4867659327
166,topological.C4SP3.x,integer,14.4831084399
358,topological.ATSm3.y,numeric,14.3823371277
43,topological.WTPT.3.x,numeric,14.3576693596
92,topological.khs.sssN.x,integer,14.258467502
233,topological.topoShape.y,numeric,14.2488262363
207,constitutional.naAromAtom.y,integer,14.2208199053
87,topological.khs.ssNH.x,integer,13.9756501148
120,topological.SP.2.x,numeric,13.9723010351
140,topological.SC.3.x,numeric,13.9265031751
